,Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Adjusted Average Daily Traffic Amount,Adjusted Percentage of Average Daily Traffic For Trucks,At Intersection Flag,Average Daily Traffic Amount,Average Daily Traffic Year,Construction Zone Flag,Crash Date,Crash Severity,Day of Week,Latitude,Light Condition,Longitude,Manner of Collision,Other Factor,Percentage of Single Unit Truck Average Daily Traffic,Road Class,Speed Limit,Weather Condition,Person Age,Person Death Count,Person Ethnicity,Person Gender,Person Helmet,Person Injury Severity,geometry,index_right0,index_right1,index_right2,osmid,oneway,lanes,name,highway,length,ref,bridge,maxspeed,access,tunnel,junction,service,names,distance,Crash Rate
0,13104221,Yes,NO,,,FALSE,,,No,11/3/12,K - FATAL INJURY,SATURDAY,30.22086848,"2 - DARK, NOT LIGHTED",-97.69480864,ONE MOTOR VEHICLE - GOING STRAIGHT,ATTENTION DIVERTED FROM DRIVING,,CITY STREET,45,1 - CLEAR,27,1,W - WHITE,1 - MALE,99 - UNKNOWN IF WORN,K - FATAL INJURY,POINT (-97.69480864 30.22086848),282770873,282770874,0,"[263496042, 263495806]",True,"['3', '4']",East Riverside Drive,primary,91.293,,,40 mph,,,,,East Riverside Drive,1.5221701376621608e-06,1.3573908233593387e-05
1,18203059,No,NO,,,TRUE,,,No,4/9/21,K - FATAL INJURY,FRIDAY,30.25715478,1 - DAYLIGHT,-97.74688246,ONE MOTOR VEHICLE - TURNING RIGHT,ONE VEHICLE ENTERING DRIVEWAY,,CITY STREET,35,1 - CLEAR,50,1,W - WHITE,1 - MALE,99 - UNKNOWN IF WORN,K - FATAL INJURY,POINT (-97.74688246 30.25715478),152416972,152398147,0,"[436631368, 436631372, 201711352, 619360110]",False,"['5', '4', '6']",East Riverside Drive,primary,148.23499999999999,,,35 mph,,,,,East Riverside Drive,3.062108397437567e-06,1.3573908233593387e-05
2,12835403,No,NO,,,FALSE,,,No,5/11/12,B - SUSPECTED MINOR INJURY,FRIDAY,30.2441945,1 - DAYLIGHT,-97.73010044,ONE MOTOR VEHICLE - TURNING RIGHT,ONE VEHICLE ENTERING DRIVEWAY,,CITY STREET,35,1 - CLEAR,26,0,W - WHITE,1 - MALE,99 - UNKNOWN IF WORN,B - SUSPECTED MINOR INJURY,POINT (-97.73010044 30.2441945),5851510989,1782356029,0,131281612,True,3,East Riverside Drive,primary,58.281000000000006,,,35 mph,,,,,East Riverside Drive,1.0868980719542894e-05,1.3573908233593387e-05
3,12696971,No,NO,,,TRUE,,,No,5/13/12,N - NOT INJURED,SUNDAY,30.24020478,"2 - DARK, NOT LIGHTED",-97.72711247,ONE MOTOR VEHICLE - GOING STRAIGHT,NOT APPLICABLE,,CITY STREET,30,1 - CLEAR,26,0,W - WHITE,1 - MALE,1 - NOT WORN,99 - UNKNOWN,POINT (-97.72711247 30.24020478),152519029,3376513007,0,"[619176904, 201711353, 619176901, 619176903]",True,"['3', '4']",East Riverside Drive,primary,215.03699999999998,,,35 mph,,,,,East Riverside Drive,1.5449016797368246e-05,1.3573908233593387e-05
4,12718188,No,NO,,,TRUE,,,No,5/19/12,C - POSSIBLE INJURY,SATURDAY,30.23779248,1 - DAYLIGHT,-97.72562247,ONE MOTOR VEHICLE - TURNING RIGHT,NOT APPLICABLE,,CITY STREET,35,1 - CLEAR,38,0,W - WHITE,1 - MALE,99 - UNKNOWN IF WORN,C - POSSIBLE INJURY,POINT (-97.72562247 30.23779248),282770200,3376515414,0,"[436624523, 619176925, 965904398]",True,"['3', '4']",East Riverside Drive,primary,317.111,,,35 mph,,,,,East Riverside Drive,1.0316367072192494e-05,1.3573908233593387e-05
5,12747797,No,NO,,,FALSE,,,No,6/11/12,C - POSSIBLE INJURY,MONDAY,30.2363046,1 - DAYLIGHT,-97.72515934,ONE MOTOR VEHICLE - TURNING RIGHT,ONE VEHICLE LEAVING DRIVEWAY,,CITY STREET,35,1 - CLEAR,27,0,B - BLACK,1 - MALE,99 - UNKNOWN IF WORN,C - POSSIBLE INJURY,POINT (-97.72515934 30.2363046),1947935386,152377571,0,"[131281626, 619176930]",True,"['3', '4']",East Riverside Drive,primary,402.313,,,35 mph,,,,,East Riverside Drive,1.3889308041216655e-05,1.3573908233593387e-05
6,13190471,Yes,NO,,,TRUE,,,No,3/17/13,C - POSSIBLE INJURY,SUNDAY,30.24020478,"3 - DARK, LIGHTED",-97.72711247,ONE MOTOR VEHICLE - TURNING LEFT,NOT APPLICABLE,,CITY STREET,35,2 - CLOUDY,,0,W - WHITE,1 - MALE,1 - NOT WORN,C - POSSIBLE INJURY,POINT (-97.72711247 30.24020478),152519029,3376513007,0,"[619176904, 201711353, 619176901, 619176903]",True,"['3', '4']",East Riverside Drive,primary,215.03699999999998,,,35 mph,,,,,East Riverside Drive,1.5449016797368246e-05,1.3573908233593387e-05
7,13351216,No,NO,,,FALSE,,,No,6/21/13,A - SUSPECTED SERIOUS INJURY,FRIDAY,30.24344478,1 - DAYLIGHT,-97.72938246,ONE MOTOR VEHICLE - TURNING RIGHT,ONE VEHICLE LEAVING DRIVEWAY,,CITY STREET,0,1 - CLEAR,46,0,H - HISPANIC,1 - MALE,1 - NOT WORN,A - SUSPECTED SERIOUS INJURY,POINT (-97.72938246 30.24344478),282770204,282770205,0,204964723,True,3,East Riverside Drive,primary,202.74699999999999,,,35 mph,,,,,East Riverside Drive,1.042751339556276e-05,1.3573908233593387e-05
8,13541339,No,NO,,,TRUE,,,No,9/21/13,B - SUSPECTED MINOR INJURY,SATURDAY,30.22698479,6 - DUSK,-97.70800247,ONE MOTOR VEHICLE - GOING STRAIGHT,ATTENTION DIVERTED FROM DRIVING,,CITY STREET,35,1 - CLEAR,,0,W - WHITE,2 - FEMALE,1 - NOT WORN,B - SUSPECTED MINOR INJURY,POINT (-97.70800247 30.22698479),152473259,282768758,0,436638900,True,4,East Riverside Drive,primary,12.344,,,40 mph,,,,,East Riverside Drive,4.26262262562165e-06,1.3573908233593387e-05
9,13877929,No,NO,,,TRUE,,,No,12/16/13,B - SUSPECTED MINOR INJURY,MONDAY,30.24477478,1 - DAYLIGHT,-97.73052247,ONE MOTOR VEHICLE - GOING STRAIGHT,ATTENTION DIVERTED FROM DRIVING,,CITY STREET,0,1 - CLEAR,22,0,W - WHITE,2 - FEMALE,"2 - WORN, DAMAGED",B - SUSPECTED MINOR INJURY,POINT (-97.73052247 30.24477478),5851510994,5851510989,0,131281612,True,3,East Riverside Drive,primary,26.604,,,35 mph,,,,,East Riverside Drive,3.2906004025555192e-06,1.3573908233593387e-05
